Field=ItemType~String~ItemType~100|Field=DesignItemId~String~DesignItemId~200|Field=Description~String~Description~300|Field=Designator~String~Designator~174|Field=Comment~String~Comment~200|Field=Quantity~Integer~Quantity~70|Field=Digi-Key Part Number~String~Digi-Key Part Number~100|Field=PartNumber~String~PartNumber~78|Field=Supplier~String~Supplier~78|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BBiQ.PrjPcb|ReportField=ProjectFullPath~F:\DESIGN\BBiQ\BBiQ.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [BOM1.BomDoc]|ReportField=TotalQuantity~115|ReportField=ReportTime~8:19:42 AM|ReportField=ReportDate~3/28/2016|ReportField=ReportDateTime~3/28/2016 8:19:42 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~BOM1.BomDoc|ReportField=DataSourceFullPath~F:\DESIGN\BBiQ\BOM1.BomDoc
Core-UnManaged|Antenna||U4|Antenna|1|||
Core-UnManaged|R0805_025W|RES 5%, 0.125W, 0805|R4|10k|1||CRCW08051K00JNEA|
Core-UnManaged|R0805_025W|RES 5%, 0.125W, 0805|R5|10k|1||CRCW08051K00JNEA|
Core-UnManaged|R0805_025W|RES 5%, 0.125W, 0805|R6|10k|1||CRCW08051K00JNEA|
Core-UnManaged|R0805_025W|RES 5%, 0.125W, 0805|R7|10k|1||CRCW08051K00JNEA|
Core-UnManaged|R0805_025W|RES 5%, 0.125W, 0805|R16|CRCW08051K00JNEA|1||CRCW08051K00JNEA|
Core-UnManaged|R0805_025W|RES 5%, 0.125W, 0805|R17|CRCW08051K00JNEA|1||CRCW08051K00JNEA|
Core-UnManaged|R0805_025W|RES 5%, 0.125W, 0805|R18|CRCW08051K00JNEA|1||CRCW08051K00JNEA|
Core-UnManaged|R0805_025W|RES 5%, 0.125W, 0805|R19|CRCW08051K00JNEA|1||CRCW08051K00JNEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R8|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R9|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R10|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R11|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R12|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R13|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R14|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R15|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R20|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R21|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R22|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R23|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R24|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R25|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R26|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R27|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R28|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|R0603|RES, 1.00k ohm, 1%, 0.1W, 0603|R29|CRCW06031K00FKEA|1||CRCW06031K00FKEA|
Core-UnManaged|BQ24090DGQR|Single Cell Li-Ion and Li-Pol Battery Charger|U1|BQ24090DGQR|1||BQ24090DGQR|
Core-UnManaged|TP|Test point (true)|J1|TP|1|||
Core-UnManaged|TP|Test point (true)|J2|TP|1|||
Core-UnManaged|TP|Test point (true)|J3|TP|1|||
Core-UnManaged|TP|Test point (true)|J4|TP|1|||
Core-UnManaged|TP|Test point (true)|J5|TP|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED1|LED|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED2|LED|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED4|A|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED5|A|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED6|A|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED7|f|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED8|B|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED9|f|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED10|B|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED11|f|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED12|B|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED13|g|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED14|g|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED15|g|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED16|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED17|C|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED18|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED19|C|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED20|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED21|C|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED22|D|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED23|D|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED24|D|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED25|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED26|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED27|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED28|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED29|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED30|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED31|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED32|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED33|E|1|||
Core-UnManaged|LED|Typical INFRARED GaAs LED|LED34|E|1|||
Core-UnManaged||XTAL SMD 2520, 16MHz, 8pF, ±40ppm|X2|26MHz|1|||Digi-Key
Core-UnManaged||XTAL SMD 3215, 32.768kHz, 9pF, ±20ppm|X1|32.768KHZ|1|||Digi-Key
